Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
21-JUN-2023,10033.8,10081.3,10003.9,10032.4,506619865,9721.54
22-JUN-2023,10047.5,10047.7,9872.75,9911.45,460064032,7255.08
23-JUN-2023,9901,9905.4,9780.3,9807.25,329802415,6280.89
26-JUN-2023,9809.4,9894,9762.65,9883.8,275493146,4657.38
27-JUN-2023,9910.8,9957.55,9900.8,9945.1,318676469,5004.85
28-JUN-2023,9994,10062.25,9966,10040.05,434332754,7456.07
30-JUN-2023,10072.85,10133.25,10060.4,10126.85,316911204,7318.55
03-JUL-2023,10189.75,10199.2,10126,10142.95,389705855,6147.82
04-JUL-2023,10182.8,10184.5,10095.8,10119.6,585768042,7447.32
05-JUL-2023,10137.05,10205.05,10113.45,10194.15,434836102,8036.81
06-JUL-2023,10200.8,10271.9,10182.4,10267.4,321731559,6126.14
07-JUL-2023,10255.75,10266.5,10117.9,10169.95,340847449,6704.67
10-JUL-2023,10203.6,10203.95,10099.1,10141.85,356242742,5917.21
11-JUL-2023,10173.2,10275.15,10169.1,10249.25,291112601,7245.71
12-JUL-2023,10282.25,10306.05,10244.9,10286,301082674,6856.38
13-JUL-2023,10321.6,10327.7,10161.45,10193.95,393650317,7104.43
14-JUL-2023,10241.85,10356.85,10218.75,10350.95,275290587,7082.86
17-JUL-2023,10382.75,10423.05,10361.55,10373.75,471137107,8018.54
18-JUL-2023,10411.85,10416.35,10314.3,10368.6,503124122,7275.64
19-JUL-2023,10396.5,10460,10384.55,10454.9,480452359,8081.6
20-JUL-2023,10481.3,10483.3,10447.45,10476.25,340706960,8407.31
21-JUL-2023,10428.8,10479.3,10411.95,10446.55,460009565,9473.57
24-JUL-2023,10461.05,10522.3,10437.7,10461.2,498321537,8702.1
25-JUL-2023,10515.1,10515.8,10428.45,10503.45,335521652,6908.93
26-JUL-2023,10530.85,10585.8,10519.45,10562.15,780206031,7551.85
27-JUL-2023,10615.35,10656.45,10583.1,10624.5,719703109,9458.86
28-JUL-2023,10644.8,10694.75,10623.75,10686.3,397724798,7991.17
31-JUL-2023,10704.2,10831.5,10689.45,10822.5,506524904,7779.56
01-AUG-2023,10854.5,10864.15,10772.4,10793.95,277040776,7176.73
02-AUG-2023,10781.65,10784.9,10548.85,10643.2,434542802,8935.78
03-AUG-2023,10628.2,10696.55,10581.9,10657.55,322326026,7550.3
04-AUG-2023,10705.8,10780.35,10666,10741.9,388733350,8424.34
07-AUG-2023,10761.9,10795.35,10739.55,10787.8,366485624,7223.08
08-AUG-2023,10818.85,10840.65,10708.8,10803.4,505547260,8242.41
09-AUG-2023,10834.55,10865.95,10744.5,10855.9,303661575,7922.88
10-AUG-2023,10875,10900.75,10803.15,10868.15,469404667,11316.4
11-AUG-2023,10909.55,10913.4,10807.2,10821.85,411058900,10413.37
14-AUG-2023,10805.9,10849,10674.15,10827.45,329531378,7102.09
16-AUG-2023,10804.95,10851.85,10743.2,10837.55,313671500,7556.4
17-AUG-2023,10858.25,10903.55,10839.3,10872.75,422217308,7802.64
18-AUG-2023,10878.9,10896.1,10794.15,10824.3,274773322,6888.74
21-AUG-2023,10847.3,10922.7,10818.3,10904,230713276,6127.34
22-AUG-2023,10934.1,11015,10918.9,11009.2,412662532,6648.61
23-AUG-2023,11038.4,11106.45,11026.9,11081.7,306260708,7130.86
24-AUG-2023,11142.3,11185.65,11118.65,11131.05,327307069,18320.73
25-AUG-2023,11098.9,11132.35,11003.25,11021.6,656619514,7945.7
28-AUG-2023,11052.05,11093,11031.65,11073.05,711328422,7286.18
29-AUG-2023,11105.85,11129.1,11085.95,11109.35,552891494,6523.5
30-AUG-2023,11159.9,11235.05,11150.2,11205.35,439105456,8157.84
31-AUG-2023,11249.5,11261.4,11140.2,11182.65,1366106476,31281.66
01-SEP-2023,11187.35,11274.75,11154.25,11260.6,1159035901,9572.45
04-SEP-2023,11310.35,11349.65,11260.6,11327.05,668329184,9124.52
05-SEP-2023,11361.6,11448.7,11327.05,11437.65,467012508,9033.52
06-SEP-2023,11467.15,11489.1,11418.85,11469.65,663692087,9081.96
07-SEP-2023,11487.6,11530.7,11458.15,11520.8,513531913,7126.49
08-SEP-2023,11559.25,11656.85,11553.7,11647.15,678126489,10058.93
11-SEP-2023,11714.45,11736.15,11685.65,11725.65,939081193,8793.63
12-SEP-2023,11789.95,11789.95,11371.5,11386.5,862108976,10043.1
13-SEP-2023,11381.15,11463.1,11271.35,11454.95,727351286,9499.62
14-SEP-2023,11508.05,11589.2,11497.05,11582.8,435722375,7824.46
15-SEP-2023,11638.35,11654.1,11585.95,11635.9,834711702,8810.76
18-SEP-2023,11652.5,11654.75,11579.5,11595.5,817656279,7784.4
20-SEP-2023,11568.55,11648.55,11509.15,11594.7,468345237,7810.83
21-SEP-2023,11577.3,11634.1,11473.15,11502.5,452011076,7109.84
22-SEP-2023,11513.9,11570.25,11427.85,11494.9,558162793,6853.92
25-SEP-2023,11513.3,11618.5,11414.1,11600.65,471067919,8450.02
26-SEP-2023,11602.15,11639.45,11543.85,11554.7,742636295,6656.26
27-SEP-2023,11574.95,11672.4,11544.4,11655,674464195,8809.8
28-SEP-2023,11674.8,11680.65,11432.5,11453.65,679395408,10886.31
29-SEP-2023,11529.25,11648.5,11497.75,11611.65,378363500,7630.91
03-OCT-2023,11621.5,11635,11549.25,11607.6,454435043,6754.93
04-OCT-2023,11578.15,11580.8,11350.85,11448.9,411177178,7140.03
05-OCT-2023,11506.3,11551.95,11437.05,11453.9,292747283,4828.56
06-OCT-2023,11505.4,11548.5,11474.6,11543.7,256705766,4960.95
09-OCT-2023,11444.45,11459.75,11373.5,11415.65,535629427,5490.2
10-OCT-2023,11464,11578.15,11459.35,11568.45,289333276,6656.58
11-OCT-2023,11638.15,11685.65,11592.15,11607.55,566941833,6807.06
12-OCT-2023,11653.8,11687.6,11623.85,11646.3,420666982,6473.16
13-OCT-2023,11613.15,11684.5,11583.2,11626.7,525136097,6250.82
16-OCT-2023,11646.8,11678.6,11598.3,11648.9,372148472,6243.67
17-OCT-2023,11705.25,11714.05,11653.75,11672.65,378187708,5542.17
18-OCT-2023,11688.1,11695.7,11529.9,11542.75,341963795,7027.61
19-OCT-2023,11502.4,11553.05,11425.05,11537.85,390426584,6939.72
20-OCT-2023,11503.65,11517.45,11321.5,11346.45,321423648,7430.46
23-OCT-2023,11336.5,11373.75,11103.3,11140.35,437874861,7851.29
25-OCT-2023,11172.9,11232.75,10982.35,11066.55,448153752,6962.79
26-OCT-2023,10995.4,11006.3,10810.75,10893,383209150,7571.2
27-OCT-2023,10962.3,11078.7,10962.2,11033.1,347554572,5507.08
30-OCT-2023,11061.4,11066.8,10901.55,11022.1,602903474,7681.75
31-OCT-2023,11075.55,11107.5,11015,11068.85,487437156,5786.28
01-NOV-2023,11097.5,11104.3,11040.95,11049.05,1147245504,7027.04
02-NOV-2023,11131.65,11232.75,11129.15,11225.6,860904754,8182.87
03-NOV-2023,11306.1,11329.75,11279.05,11311.35,783776945,7008.24
06-NOV-2023,11381.35,11389.5,11352.05,11380.85,321509442,6194.4
07-NOV-2023,11402.75,11411.05,11333.35,11403.1,425667550,6664.08
08-NOV-2023,11463.5,11513.8,11455.65,11501.05,318758484,6552.97
09-NOV-2023,11532.25,11593.55,11514.25,11554.55,392872606,6823.13
10-NOV-2023,11550.75,11625.55,11481.55,11613.75,440234960,6624.14
12-NOV-2023,11703.2,11710,11683.7,11691.15,93283621,1165.46
13-NOV-2023,11682.3,11695.35,11620.6,11673.4,339254641,7926.85
15-NOV-2023,11775.55,11789.45,11719.35,11774.95,385070661,8416.75
16-NOV-2023,11789.9,11909.85,11772.45,11875.35,471024369,6924.7
17-NOV-2023,11862.25,11938.55,11847.9,11905.45,469523588,7314.6
20-NOV-2023,11931.9,11961.65,11901.5,11919.8,535066000,7073.81
21-NOV-2023,11969.8,11990.75,11922,11954.55,390357151,7196.03
22-NOV-2023,11976.25,12001.4,11881,11941.9,367943260,6226.9
23-NOV-2023,11979.8,11993.65,11948.2,11960.35,285494895,5096.71
24-NOV-2023,11987.3,11993.65,11937.8,11955.25,277555969,5972.82
28-NOV-2023,11992.2,12041,11957.7,12031.6,332214369,7601
29-NOV-2023,12081.15,12123,12069.6,12113.8,362841727,8252.66
30-NOV-2023,12135.15,12239.65,12082.3,12200.6,1021411802,25536.54
01-DEC-2023,12281.45,12359.2,12265.45,12334.5,464405177,10219.72
04-DEC-2023,12515.35,12519.6,12412.9,12464.45,545623132,11639.2
05-DEC-2023,12515.95,12551.45,12366.1,12508.05,541491724,10064.33
06-DEC-2023,12566.8,12600.8,12486.75,12549.4,419987788,8766.66
07-DEC-2023,12570.7,12647.25,12494.5,12631.2,525958265,9228.95
08-DEC-2023,12683.5,12711.85,12512.35,12624.2,492435217,9459.01
11-DEC-2023,12650.55,12696.5,12622.6,12684.7,505470530,8283.14
12-DEC-2023,12724.35,12748.5,12581.4,12650.35,453555496,8878.3
13-DEC-2023,12694.9,12827.2,12657.7,12815.55,673523710,10987.66
14-DEC-2023,12904.2,13023.35,12890.4,13000.7,859428396,13801.66
15-DEC-2023,13066.5,13072.5,12996.9,13029.35,701919139,14054.13
18-DEC-2023,13049.65,13081.8,12963.75,13039.1,648060155,9592.77
19-DEC-2023,13063.65,13071.25,12905.4,12977.65,512648655,8192.3
20-DEC-2023,13044.15,13117,12504.1,12560,810190116,12708.39
21-DEC-2023,12459.4,12785.75,12385.9,12764.85,581656489,9368.71
22-DEC-2023,12836.8,12881.1,12744.95,12838.2,456843741,9412.42
26-DEC-2023,12877.2,12950.35,12827.55,12905.6,530258335,7685.99
27-DEC-2023,12961.9,13016.9,12874.25,12946.5,384722799,7961.82
28-DEC-2023,12995.15,13078.05,12947.95,13066.25,564859552,12387.09
29-DEC-2023,13102.75,13162.2,13037.55,13144.95,2013399512,12075.45
